metric,algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRequestRepublishTicks,p2pRqsRadius,p2pStrategy,p2pOverlayMinNeighbors,p2pOverlayMaxNeighbors,p2pOverlayShortcuts,p2pOverlayMaxDistanceFactor,p2pTopologyScanTicks,idleRoamingEnabled,idleRoamingStrategy,idleRoamingMode,runs,avgMean,avgStd,avgMin,avgMax,countMean,countMin,countMax,rawRows,servedRatioMean
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,200,True,past-avg-total,past-avg-total,4,0.0,0.0,0.0,0.0,86910.25,86527,87276,4,136.22296238244513
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,0,1,200,True,random,random,4,0.0,0.0,0.0,0.0,86838.25,86476,87152,4,136.11010971786834
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,200,False,none,none,4,0.0,0.0,0.0,0.0,86922.25,86600,87241,4,136.24177115987462
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,200,True,past-avg,past-avg,4,0.0,0.0,0.0,0.0,86881.5,86527,87232,4,136.17789968652036
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,200,True,past-avg-revisit,past-avg-revisit,4,0.0,0.0,0.0,0.0,86838.25,86476,87152,4,136.11010971786834
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,200,True,past-avg-total,past-avg-total,4,0.0,0.0,0.0,0.0,86910.25,86527,87276,4,136.22296238244513
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,2000,nearest,1,4,1,1,200,True,random,random,4,0.0,0.0,0.0,0.0,86838.25,86476,87152,4,136.11010971786834
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,200,False,none,none,4,0.0,0.0,0.0,0.0,86965.0,86639,87268,4,136.30877742946709
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,200,True,past-avg,past-avg,4,0.0,0.0,0.0,0.0,87008.75,86652,87327,4,136.3773510971787
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,200,True,past-avg-revisit,past-avg-revisit,4,0.0,0.0,0.0,0.0,86952.5,86599,87332,4,136.28918495297805
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,200,True,past-avg-total,past-avg-total,4,0.0,0.0,0.0,0.0,86975.0,86599,87411,4,136.3244514106583
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,1,4,0,1,200,True,random,random,4,0.0,0.0,0.0,0.0,86952.5,86599,87332,4,136.28918495297805
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,1,4,1,1,200,False,none,none,4,0.0,0.0,0.0,0.0,86965.0,86639,87268,4,136.30877742946709
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,1,4,1,1,200,True,past-avg,past-avg,4,0.0,0.0,0.0,0.0,87008.75,86652,87327,4,136.3773510971787
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,1,4,1,1,200,True,past-avg-revisit,past-avg-revisit,4,0.0,0.0,0.0,0.0,86952.5,86599,87332,4,136.28918495297805
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,1,4,1,1,200,True,past-avg-total,past-avg-total,4,0.0,0.0,0.0,0.0,86975.0,86599,87411,4,136.3244514106583
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,greedy,1,4,1,1,200,True,random,random,4,0.0,0.0,0.0,0.0,86952.5,86599,87332,4,136.28918495297805
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,nearest,1,4,0,1,200,False,none,none,4,0.0,0.0,0.0,0.0,86965.0,86639,87268,4,136.30877742946709
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,nearest,1,4,0,1,200,True,past-avg,past-avg,4,0.0,0.0,0.0,0.0,87008.75,86652,87327,4,136.3773510971787
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,nearest,1,4,0,1,200,True,past-avg-revisit,past-avg-revisit,4,0.0,0.0,0.0,0.0,86952.5,86599,87332,4,136.28918495297805
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,nearest,1,4,0,1,200,True,past-avg-total,past-avg-total,4,0.0,0.0,0.0,0.0,86975.0,86599,87411,4,136.3244514106583
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,nearest,1,4,0,1,200,True,random,random,4,0.0,0.0,0.0,0.0,86952.5,86599,87332,4,136.28918495297805
Calculation Time [millis],TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,15,3000,nearest,1,4,1,1,200,False,none,none,4,0.0,0.0,0.0,0.0,86965.0,86639,87268,4,136.30877742946709
