algorithm,taxiCount,clientCount,taxiSeatCount,spawnScenario,kHops,p2pRqsRadius,p2pStrategy,p2pOverlayShortcuts,idleRoamingMode,requests,finished,waitMax,completionRatio,waitMean,travelMean
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,greedy,0,none,12248,12248,98.58333333333333,1.0,6.208605486610058,13.457035162203352
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,greedy,0,past-avg,12714,12714,64.18333333333334,1.0,2.5806591159351897,10.18899900372293
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,greedy,0,past-avg-revisit,12258,12258,98.58333333333333,1.0,6.134649480611302,13.388937836514929
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,greedy,0,past-avg-total,12720,12720,54.266666666666666,1.0,2.537002096436059,10.147371593291405
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,greedy,0,random,12752,12752,18.116666666666667,1.0,1.980651401087411,9.655180886658302
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,greedy,1,none,12248,12248,98.58333333333333,1.0,6.208605486610058,13.457035162203352
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,greedy,1,past-avg,12714,12714,64.18333333333334,1.0,2.5806591159351897,10.18899900372293
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,greedy,1,past-avg-revisit,12258,12258,98.58333333333333,1.0,6.134649480611302,13.388937836514929
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,greedy,1,past-avg-total,12720,12720,54.266666666666666,1.0,2.537002096436059,10.147371593291405
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,greedy,1,random,12752,12752,18.116666666666667,1.0,1.980651401087411,9.655180886658302
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,nearest,0,none,12248,12248,98.58333333333333,1.0,6.208605486610058,13.457035162203352
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,nearest,0,past-avg,12714,12714,64.18333333333334,1.0,2.5806591159351897,10.18899900372293
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,nearest,0,past-avg-revisit,12258,12258,98.58333333333333,1.0,6.134649480611302,13.388937836514929
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,nearest,0,past-avg-total,12720,12720,54.266666666666666,1.0,2.537002096436059,10.147371593291405
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,nearest,0,random,12752,12752,18.116666666666667,1.0,1.980651401087411,9.655180886658302
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,nearest,1,none,12248,12248,98.58333333333333,1.0,6.208605486610058,13.457035162203352
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,nearest,1,past-avg,12714,12714,64.18333333333334,1.0,2.5806591159351897,10.18899900372293
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,nearest,1,past-avg-revisit,12258,12258,98.58333333333333,1.0,6.134649480611302,13.388937836514929
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,nearest,1,past-avg-total,12720,12720,54.266666666666666,1.0,2.537002096436059,10.147371593291405
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,1000,nearest,1,random,12752,12752,18.116666666666667,1.0,1.980651401087411,9.655180886658302
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,2000,greedy,0,none,12742,12742,57.483333333333334,1.0,2.9998011824412703,10.70721498456548
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,2000,greedy,0,past-avg,12758,12758,15.816666666666666,1.0,2.757161519569421,10.493334900977166
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,2000,greedy,0,past-avg-revisit,12738,12738,45.666666666666664,1.0,2.9633249594389492,10.674917569477156
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,2000,greedy,0,past-avg-total,12758,12758,50.61666666666667,1.0,2.757307832993677,10.492796676595079
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,2000,greedy,0,random,12760,12760,15.733333333333333,1.0,2.6963845350052247,10.436076280041798
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,2000,greedy,1,none,12742,12742,57.483333333333334,1.0,2.9998011824412703,10.70721498456548
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,2000,greedy,1,past-avg,12758,12758,15.816666666666666,1.0,2.757161519569421,10.493334900977166
TaxiAlgorithmP2PCollector,39,638,1,BASELINE,0,2000,greedy,1,past-avg-revisit,12738,12738,45.666666666666664,1.0,2.9633249594389492,10.674917569477156
